lat,lon,year,date,end_date,name,county,circuit,cause,outage_type,division,customer_minutes,restoration_min,medical_baseline,life_support,schools,hospitals
36.39978,-121.35906,2022,2022-05-25,2022-05-25,SOLEDAD 2102,Monterey,SOLEDAD 2102,Animal,FTS,Central Coast,12730,134,0,0,0,0
38.30566,-122.4718,2022,2022-05-25,2022-05-25,SONOMA 1102,Sonoma,SONOMA 1102,Unknown,FTS,Sonoma,14835,129,3,2,0,0
37.20067,-121.83798,2022,2022-05-25,2022-05-25,HICKS 2101,Santa Clara,HICKS 2101,Unknown,FTS,San Jose,432067,298,94,68,3,0
38.57212,-122.5563,2022,2022-05-25,2022-05-25,CALISTOGA 1102,Napa,CALISTOGA 1102,Company Initiated,FTS,North Bay,457221,348,64,40,6,0
37.13756,-121.72382,2022,2022-05-25,2022-05-26,MORGAN HILL 2111,Santa Clara,MORGAN HILL 2111,Equipment,FTS,San Jose,119679,937,18,9,0,0
38.61385,-122.90611,2022,2022-05-25,2022-05-25,FITCH MOUNTAIN 1113,Sonoma,FITCH MOUNTAIN 1113,Vegetation,FTS,Sonoma,20240,92,6,4,0,0
40.64915,-121.92832,2022,2022-06-25,2022-06-25,WHITMORE 1101,Shasta,WHITMORE 1101,Company Initiated,FTS,North Valley,39096,72,36,28,3,0
38.37264,-122.34751,2022,2022-05-25,2022-05-25,PUEBLO 2104,Napa,PUEBLO 2104,Company Initiated,FTS,North Bay,57024,162,7,4,1,0
37.20067,-121.83798,2022,2022-05-25,2022-05-25,HICKS 2101,Santa Clara,HICKS 2101,Unknown,FTS,San Jose,115048,38,187,127,9,0
38.37534,-120.91677,2022,2022-05-25,2022-05-26,CLAY 1101,Amador,CLAY 1101,Equipment,FTS,Stockton,22266,585,21,13,2,0
40.43431,-122.21642,2022,2022-05-25,2022-05-25,PANORAMA 1102,Shasta,PANORAMA 1102,Unknown,FTS,North Valley,12658,124,8,7,0,0
38.70958,-123.00093,2022,2022-05-25,2022-05-25,GEYSERVILLE 1101,Sonoma,GEYSERVILLE 1101,Unknown,FTS,Sonoma,11023,98,3,2,0,0
38.61385,-122.90611,2022,2022-05-25,2022-05-26,FITCH MOUNTAIN 1113,Sonoma,FITCH MOUNTAIN 1113,Vegetation,FTS,Sonoma,29406,522,6,3,0,0
38.57212,-122.5563,2022,2022-05-25,2022-05-25,CALISTOGA 1102,Napa,CALISTOGA 1102,Company Initiated,FTS,North Bay,114112,88,64,40,6,0
38.58834,-122.43888,2022,2022-05-25,2022-05-26,SILVERADO 2104,Napa,SILVERADO 2104,Unknown,FTS,North Bay,149323,203,34,20,3,0
38.76454,-122.11113,2022,2022-05-26,2022-05-26,MADISON 2101,Yolo,MADISON 2101,Unknown,FTS,Sacramento,16,16,0,0,0,0
35.99487,-121.2179,2022,2022-05-26,2022-05-26,JOLON 1103,Monterey,JOLON 1103,Unknown,FTS,Central Coast,5532,379,0,0,0,0
38.76454,-122.11113,2022,2022-05-26,2022-05-26,MADISON 2101,Yolo,MADISON 2101,Unknown,FTS,Sacramento,130560,255,17,7,0,0
37.30675,-119.53203,2022,2022-05-26,2022-05-27,SAN JOAQUIN #3 1101,Madera,SAN JOAQUIN #3 1101,Unknown,FTS,Yosemite,166898,745,32,23,0,0
38.83535,-120.79989,2022,2022-05-26,2022-05-27,PLACERVILLE 2106,El Dorado,PLACERVILLE 2106,Vegetation,FTS,Sierra,251798,293,150,92,4,1
37.72417,-120.19413,2022,2022-05-28,2022-05-28,BEAR VALLEY 2105,Mariposa,BEAR VALLEY 2105,Equipment,FTS,Yosemite,92920,404,15,11,0,0
37.42852,-119.91182,2022,2022-05-28,2022-05-28,MARIPOSA 2102,Mariposa,MARIPOSA 2102,Unknown,FTS,Yosemite,377058,174,203,147,6,0
37.89639,-122.15871,2022,2022-05-28,2022-05-29,SOBRANTE 1101,Contra Costa,SOBRANTE 1101,Vegetation,FTS,Diablo,59050,764,87,63,2,0
38.20278,-120.60258,2022,2022-05-29,2022-05-29,CALAVERAS CEMENT 1101,Calaveras,CALAVERAS CEMENT 1101,Unknown,FTS,Stockton,35360,221,10,8,0,0
38.18018,-121.09275,2022,2022-05-29,2022-05-30,LOCKEFORD 2102,San Joaquin,LOCKEFORD 2102,Unknown,FTS,Stockton,80192,933,19,8,0,0
40.55152,-122.39479,2022,2022-05-30,2022-05-30,GIRVAN 1102,Shasta,GIRVAN 1102,3rd Party,FTS,North Valley,105971,867,31,24,0,0
38.66065,-120.98793,2022,2022-05-30,2022-05-30,SHINGLE SPRINGS 2108,El Dorado,SHINGLE SPRINGS 2108,Unknown,FTS,Sierra,145920,76,167,113,1,0
38.33547,-120.94094,2022,2022-05-30,2022-05-30,CLAY 1102,Amador,CLAY 1102,Unknown,FTS,Stockton,42,14,0,0,0,0
36.71051,-118.93965,2022,2022-05-30,2022-05-31,DUNLAP 1102,Tulare,DUNLAP 1102,Equipment,FTS,Fresno,48319,1127,0,0,0,0
37.09614,-122.08156,2022,2022-05-31,2022-05-31,BEN LOMOND 0401,Santa Cruz,BEN LOMOND 0401,Unknown,FTS,Central Coast,18414,198,12,9,0,0
39.20114,-121.19767,2022,2022-05-31,2022-05-31,NARROWS 2105,Nevada,NARROWS 2105,Company Initiated,FTS,Sierra,24563,29,60,38,0,0
